track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Coastline,Hawks & Doves,studio,Neil Young,146120,10/29/1980,14,0.685,0.514,0,-10.126,1,0.03,0.707,0.0288,0.186,0.499,111.056,4
Cold Cold World,Stills,studio,Stephen Stills,274733,1975,14,0.466,0.391,2,-14.197,1,0.0649,0.335,0.164,0.262,0.365,140.825,4
Cold Rain,CSN,studio,"Crosby, Stills & Nash",154600,6/17/1977,25,0.35,0.0444,9,-21.421,0,0.0376,0.948,0.00051,0.1,0.165,88.158,4
Colorado,Bread and Roses Festival (Live),live,Stephen Stills,208000,9/4/1978,1,0.401,0.44,3,-13.136,0,0.0357,0.808,2.36e-06,0.672,0.26,81.601,4
Columbus,Thousand Roads,studio,David Crosby,266733,5/4/1993,8,0.683,0.265,0,-16.175,1,0.0443,0.133,5.41e-05,0.0857,0.233,126.995,4
Come Along and Say You Will,Neil Young Archives Vol. II (1972 - 1976),archives,Neil Young,147666,11/25/2020,14,0.62,0.416,9,-9.805,1,0.0256,0.228,7.46e-06,0.1,0.668,83.856,4
Come on Baby Let's Go Downtown,Tonight's the Night,live,Neil Young,215301,6/1/1975,27,0.424,0.666,9,-11.112,1,0.0313,0.252,0.0,0.91,0.905,166.914,4
Comes a Time,Comes a Time,studio,Neil Young,185866,10/4/1978,47,0.481,0.432,0,-13.044,1,0.0317,0.22,1.5e-05,0.101,0.55,158.202,4
Comin' Apart at Every Nail,Hawks & Doves,studio,Neil Young,156360,10/29/1980,14,0.439,0.698,0,-8.955,1,0.0735,0.676,4.11e-06,0.194,0.637,185.827,4
Compass,American Dream,studio,"Crosby, Stills, Nash & Young",327933,11/11/1988,19,0.344,0.0541,11,-21.09,0,0.033,0.622,8.85e-06,0.143,0.157,99.363,4
Computer Age,Trans,live,Neil Young,324733,11/9/1982,24,0.746,0.415,11,-13.134,0,0.0435,0.162,0.047,0.0765,0.814,128.024,4
Computer Cowboy,Trans,live,Neil Young,253666,11/9/1982,17,0.624,0.571,9,-13.884,1,0.0331,0.202,0.00196,0.103,0.696,110.193,4
Cortez the Killer,Neil Young Archives Vol. II (1972 - 1976),archives,Neil Young,451960,11/25/2020,13,0.53,0.458,4,-11.379,0,0.0258,0.0377,0.0304,0.123,0.46,113.426,4
Cough up the Bucks,Fork in the Road,studio,Neil Young,277320,4/3/2009,7,0.381,0.725,7,-9.213,1,0.0417,0.0106,0.684,0.317,0.516,171.671,4
Country Girl,Deja Vu ,studio,"Crosby, Stills, Nash & Young",312133,3/11/1970,38,0.316,0.398,7,-12.558,0,0.031,0.589,2.93e-05,0.0929,0.367,120.903,3
Coverage,Thousand Roads,studio,David Crosby,203466,5/4/1993,7,0.775,0.438,2,-13.699,1,0.0564,0.511,0.0109,0.0876,0.523,129.7,4
Cowboy Movie,If I Could Only Remember My Name,studio,David Crosby,491400,2/22/1971,36,0.307,0.629,2,-12.499,1,0.0675,0.0061,1.85e-05,0.136,0.514,76.349,4
Cowboy Of Dreams,Wind on the Water,studio,David Crosby,209200,1975,13,0.62,0.355,7,-11.726,1,0.0262,0.78,1.26e-06,0.188,0.498,107.471,3
Cowgirl in the Sand,"Road Rock, Vol. 1",live,Neil Young,1091360,12/5/2000,15,0.188,0.713,9,-10.405,0,0.0384,0.076,0.641,0.961,0.205,164.766,4
Cowgirl Jam,Paradox,soundtrack,Neil Young,636440,3/23/2018,12,0.208,0.657,5,-11.528,1,0.0442,0.00021,0.92,0.976,0.378,75.503,4
Cracks in the City,This Path Tonight,studio,Graham Nash,221495,2016,17,0.621,0.296,11,-14.596,0,0.0323,0.578,4.3e-06,0.0972,0.463,131.519,3
Crazy,A Letter Home,studio,Neil Young,135973,5/19/2014,15,0.546,0.261,4,-16.051,0,0.0401,0.914,0.00551,0.123,0.273,91.65,4
Crime in the City,Freedom,studio,Neil Young,524866,1989,26,0.72,0.44,9,-14.957,0,0.0293,0.148,0.0228,0.088,0.787,134.152,4
Crime of the Heart,Bluenote Cafe,live,Neil Young,336973,11/13/2015,6,0.387,0.503,4,-11.256,1,0.0418,0.459,0.0953,0.879,0.256,197.721,3
Cripple Creek Ferry,After the Gold Rush,studio,Neil Young,93960,8/31/1970,37,0.8,0.222,7,-14.975,1,0.0388,0.52,0.0,0.0884,0.516,128.296,4
Critical Mass,Wind on the Water,studio,David Crosby,330280,1975,20,0.412,0.21,1,-14.082,0,0.0309,0.9,0.00605,0.132,0.137,107.814,4
Crossroads/You Can't Catch Me,Live,live,Stephen Stills,281026,3/15/2005,14,0.51,0.545,4,-9.812,0,0.0556,0.291,0.015,0.967,0.422,144.51,4
Cuba Al Fin,Havana Jam Cuba 1979 (live),live,Stephen Stills,503666,7/5/2021,1,0.285,0.863,0,-7.954,1,0.105,0.211,0.000308,0.932,0.796,96.83,4
Curved Air,Sky Trails,studio,David Crosby,284026,9/29/2017,9,0.538,0.386,6,-12.847,1,0.0392,0.744,0.0375,0.109,0.177,110.562,4
Daddy Went Walkin',Silver & Gold,studio,Neil Young,241760,4/25/2000,20,0.556,0.201,2,-15.174,1,0.0331,0.777,0.000526,0.0802,0.393,83.464,4
Dance Dance Dance,Harvest,studio,Neil Young,154640,2/1/1972,23,0.751,0.472,9,-10.073,1,0.0485,0.033,0.0285,0.0526,0.453,141.264,4
Dancer,If I Could Only Remember My Name,studio,David Crosby,303440,1971,5,0.315,0.238,0,-13.222,0,0.0338,0.743,0.0118,0.0784,0.0952,181.453,3
Danger Bird,Neil Young Archives Vol. II (1972 - 1976),archives,Neil Young,415146,11/25/2020,8,0.338,0.46,2,-9.537,1,0.0315,0.114,0.133,0.604,0.118,121.503,4
Dangerous Night,Croz,studio,David Crosby,357040,1/28/2014,13,0.707,0.412,0,-12.606,1,0.0405,0.559,0.127,0.144,0.0932,147.888,4
Dark Star,CSN,studio,"Crosby, Stills & Nash",285706,6/17/1977,45,0.676,0.491,9,-15.126,0,0.0641,0.442,0.0021,0.105,0.648,100.718,4
Daughters,Neil Young Archives Vol. II (1972 - 1976),archives,Neil Young,210386,11/25/2020,8,0.687,0.372,2,-12.959,1,0.0303,0.283,6.49e-06,0.0971,0.615,121.78,3
David Geffen Rap - Live,ROXY: Tonight's the Night Live,live,Neil Young,35746,4/21/2018,9,0.507,0.124,2,-30.326,1,0.522,0.597,2.72e-06,0.492,0.0945,88.83,3
Daylight Again,Daylight Again,studio,"Crosby, Stills & Nash",149173,6/21/1982,33,0.373,0.112,2,-16.381,0,0.0334,0.815,5.11e-06,0.179,0.37,156.157,4
Deep Forbidden Lake,Neil Young Archives Vol. II (1972 - 1976),archives,Neil Young,223053,11/25/2020,8,0.608,0.226,5,-15.6,1,0.0254,0.213,0.00267,0.113,0.423,80.495,4
Deja Vu,Another Stoney Evening,studio,David Crosby,335400,1/13/1998,6,0.485,0.288,11,-16.967,0,0.107,0.758,6.65e-05,0.905,0.423,114.363,4
Deja Vu ,Deja Vu ,studio,"Crosby, Stills, Nash & Young",252373,3/11/1970,45,0.454,0.267,11,-15.915,0,0.036,0.81,0.221,0.296,0.203,137.052,4
Delta,Daylight Again,studio,"Crosby, Stills & Nash",248600,6/21/1982,23,0.495,0.19,10,-14.046,1,0.0308,0.914,0.00018,0.15,0.185,120.871,4
