track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Since I Met You,Daylight Again,studio,"Crosby, Stills & Nash",191080,6/21/1982,18,0.6,0.642,9,-11.382,1,0.0329,0.43,0.000531,0.11,0.779,143.655,4
Song for Susan,Daylight Again,studio,"Crosby, Stills & Nash",186920,6/21/1982,21,0.582,0.22,9,-14.894,0,0.0266,0.673,0.00126,0.0821,0.167,98.055,3
Southern Cross,Daylight Again,studio,"Crosby, Stills & Nash",281000,6/21/1982,64,0.668,0.447,2,-11.124,1,0.0312,0.48,2.89E-06,0.153,0.588,81.415,4
Tomorrow Is Another Day,Daylight Again,studio,"Crosby, Stills & Nash",245400,6/21/1982,14,0.646,0.491,7,-11.515,1,0.038,0.146,0.000463,0.0956,0.733,118.082,4
Too Much Love to Hide,Daylight Again,studio,"Crosby, Stills & Nash",237013,6/21/1982,31,0.688,0.74,2,-10.276,1,0.0287,0.0281,9.39E-05,0.0851,0.934,122.698,4
Turn Your Back on Love,Daylight Again,studio,"Crosby, Stills & Nash",289506,6/21/1982,25,0.752,0.478,0,-11.915,1,0.0308,0.215,0.000188,0.107,0.653,110.487,4
Wasted on the Way,Daylight Again,studio,"Crosby, Stills & Nash",171080,6/21/1982,46,0.526,0.543,2,-12.895,1,0.0403,0.394,2.84E-05,0.234,0.744,153.668,4
You Are Alive,Daylight Again,studio,"Crosby, Stills & Nash",182026,6/21/1982,18,0.486,0.29,4,-15.099,1,0.0386,0.629,0.00147,0.129,0.218,137.647,4
(Got to Keep) Open,Live It Up,live,"Crosby, Stills & Nash",284040,6/22/1990,5,0.554,0.829,4,-13.631,1,0.036,0.0974,1.12E-06,0.0469,0.883,98.032,4
After the Dolphin,Live It Up,live,"Crosby, Stills & Nash",304506,6/22/1990,6,0.645,0.536,7,-13.075,1,0.0316,0.0187,0.000333,0.395,0.556,113.366,4
Arrows,Live It Up,live,"Crosby, Stills & Nash",233026,6/22/1990,6,0.403,0.265,9,-16.947,0,0.0287,0.764,0.00288,0.113,0.109,100.14,3
Haven't We Lost Enough?,Live It Up,live,"Crosby, Stills & Nash",186906,6/22/1990,30,0.374,0.22,2,-17.06,1,0.0355,0.768,0,0.117,0.539,80.098,1
House of Broken Dreams,Live It Up,live,"Crosby, Stills & Nash",200306,6/22/1990,7,0.629,0.223,0,-17.348,1,0.0312,0.36,0.00303,0.189,0.165,77.43,4
If Anybody Had a Heart,Live It Up,live,"Crosby, Stills & Nash",268266,6/22/1990,22,0.409,0.57,4,-10.49,1,0.0295,0.0175,3.30E-06,0.253,0.721,184.163,4
Live It Up,Live It Up,live,"Crosby, Stills & Nash",235533,6/22/1990,10,0.806,0.858,0,-9.25,1,0.0432,0.28,5.63E-05,0.134,0.957,121.365,4
Straight Line,Live It Up,live,"Crosby, Stills & Nash",197293,6/22/1990,18,0.697,0.575,9,-13.282,1,0.0299,0.029,2.92E-06,0.123,0.746,123.188,4
Tomboy,Live It Up,live,"Crosby, Stills & Nash",199893,6/22/1990,5,0.83,0.553,9,-11.945,0,0.0293,0.0809,1.20E-06,0.349,0.781,123.296,4
Yours and Mine,Live It Up,live,"Crosby, Stills & Nash",284560,6/22/1990,7,0.668,0.378,2,-13.601,0,0.0396,0.0763,0.00123,0.203,0.455,138.899,4
