track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Stupid White Men...,Dead Man,soundtrack,Neil Young,525666,1996,15,0.436,0.426,1,-18.247,1,0.553,0.00379,0,0.232,0.15,111.393,3
The Round Stones Beneath the Earth…,Dead Man,soundtrack,Neil Young,211799,1996,19,0.305,0.187,1,-21.67,1,0.0589,0.394,0.724,0.114,0.0983,113.102,4
"Time for You to Leave, William Blake...",Dead Man,soundtrack,Neil Young,51466,1996,14,0.403,0.276,2,-23.244,1,0.292,0.949,0.081,0.292,0.293,116.49,5
"Why Dost Thou Hide Thyself, Clouds",Dead Man,soundtrack,Neil Young,144599,1996,17,0.163,0.216,2,-22.328,1,0.0451,0.427,0.774,0.111,0.137,72.736,4
Cough up the Bucks,Fork in the Road,studio,Neil Young,277320,4/3/2009,7,0.381,0.725,7,-9.213,1,0.0417,0.0106,0.684,0.317,0.516,171.671,4
Fork in the Road,Fork in the Road,studio,Neil Young,346600,4/3/2009,8,0.452,0.773,9,-10.564,1,0.0333,0.00251,0.144,0.329,0.579,141.278,4
Fuel Line,Fork in the Road,studio,Neil Young,190826,4/3/2009,7,0.642,0.804,2,-10.464,1,0.0294,0.0479,0.000395,0.661,0.814,94.041,4
Get Behind the Wheel,Fork in the Road,studio,Neil Young,187226,4/3/2009,6,0.568,0.748,9,-7.274,1,0.035,0.00296,0.000416,0.375,0.384,126.45,4
Hit the Road,Fork in the Road,studio,Neil Young,215546,4/3/2009,6,0.49,0.538,11,-8.63,0,0.0317,0.205,0.00156,0.474,0.258,170.268,4
Johnny Magic,Fork in the Road,studio,Neil Young,257853,4/3/2009,8,0.485,0.904,9,-7.719,1,0.0356,0.00747,0.000729,0.206,0.446,136.049,4
Just Singing a Song,Fork in the Road,studio,Neil Young,211346,4/3/2009,8,0.166,0.68,9,-8.221,0,0.0379,0.0169,0.000191,0.181,0.326,200.018,4
Light a Candle,Fork in the Road,studio,Neil Young,180240,4/3/2009,15,0.559,0.157,4,-17.722,0,0.0393,0.886,0.000603,0.111,0.28,131.565,4
Off the Road,Fork in the Road,studio,Neil Young,201613,4/3/2009,6,0.616,0.14,5,-16.468,1,0.0317,0.618,0.171,0.111,0.0803,77.511,4
