track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Ivory Tower - Outtake,"Crosby, Stills, Nash & Young",Ivory Tower (Outtake),231866,2022-07-01,11,0.602,0.48,7,-13.644,1,0.0292,0.0558,0.0,0.109,0.67,80.449,4
Do for the Others,"Crosby, Stills & Nash","Crosby, Stills & Nash",167480,1969-05-29,33,0.565,0.187,6,-17.895,1,0.0318,0.907,6.6e-05,0.118,0.101,80.35,4
Song with No Words,"Crosby, Stills & Nash","Crosby, Stills & Nash",197053,1969-05-29,32,0.358,0.17,7,-15.447,0,0.0354,0.938,0.0132,0.112,0.331,181.766,4
Everybody's Talkin',"Crosby, Stills & Nash","Crosby, Stills & Nash",193506,1969-05-29,34,0.587,0.137,11,-17.794,1,0.0319,0.953,0.00569,0.1,0.108,98.42,4
Teach Your Children,"Crosby, Stills, Nash & Young","Crosby, Stills & Nash",194226,1969-05-29,34,0.622,0.325,5,-11.749,1,0.0314,0.817,0.0,0.433,0.492,81.996,4
Barrel of Pain (Half-Life),Graham Nash,Reflections,256760,2009,4,0.543,0.535,9,-9.052,0,0.0296,0.251,9.16e-06,0.0715,0.848,160.653,4
Lonely Man,"Crosby, Stills & Nash",Reflections,197093,2009,18,0.774,0.736,7,-9.274,1,0.0271,0.551,0.0263,0.11,0.866,107.224,4
Water from the Moon,Graham Nash,Reflections,172720,2009,2,0.558,0.772,4,-7.636,1,0.0278,0.0321,0.00128,0.189,0.854,93.644,4
After the Dolphin - Edit,"Crosby, Stills & Nash",Reflections,275746,2009,2,0.647,0.592,7,-11.286,1,0.028,0.0283,0.00198,0.624,0.548,113.368,4
"Unequal Love - Live at Berkshire Performing Arts Center, August 1993",Graham Nash,Reflections,290800,2009,2,0.431,0.213,9,-12.989,1,0.0354,0.904,1.87e-05,0.732,0.271,136.986,4
"Liar's Nightmare - Live at Tampa Bay Performing Arts Center, Sept. 1993",Graham Nash,Reflections,494853,2009,3,0.602,0.261,2,-13.942,0,0.0388,0.724,0.000124,0.845,0.623,98.362,3
Heartland,"Crosby, Stills, Nash & Young",Reflections,267146,2009,2,0.485,0.45,4,-10.832,0,0.0391,0.509,0.0,0.11,0.195,141.96,4
Try to Find Me,Graham Nash,Reflections,248040,2009,3,0.365,0.214,4,-11.498,1,0.0317,0.358,3.59e-06,0.104,0.109,137.813,4
Two Hearts,Carole King & Graham Nash,Reflections,264773,2009,4,0.553,0.224,9,-12.856,1,0.0267,0.944,9.27e-05,0.13,0.0767,78.835,4
Behind The Shades,Graham Nash,Reflections,242040,2009,2,0.684,0.538,9,-10.664,1,0.0269,0.0487,0.0,0.343,0.847,114.455,4
Michael (Hedges Here),Graham Nash,Reflections,154160,2009,2,0.485,0.0952,2,-17.169,1,0.0383,0.943,3.21e-05,0.0993,0.074,131.168,4
We Breathe The Same Air,Graham Nash,Reflections,165840,2009,2,0.284,0.666,2,-8.506,1,0.0454,0.00689,0.0,0.143,0.778,201.074,4
In Your Name,Graham Nash,Reflections,230413,2009,2,0.444,0.241,4,-13.514,1,0.0259,0.707,9.77e-05,0.104,0.19,89.432,3
