track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Natalie,David Crosby,A Thousand Roads,295066,1993-05-04,11,0.52,0.18,4.0,-16.039,1.0,0.0266,0.556,5.1e-05,0.107,0.21,83.942,4.0
Drive My Car,David Crosby,Oh Yes I Can,213666,1989-01-23,6,0.507,0.838,7.0,-9.629,1.0,0.0587,0.106,0.00284,0.157,0.51,102.765,4.0
Melody,David Crosby,Oh Yes I Can,244653,1989-01-23,5,0.592,0.555,5.0,-11.728,1.0,0.0359,0.376,0.00534,0.101,0.641,89.21,4.0
Monkey And The Underdog,David Crosby,Oh Yes I Can,255920,1989-01-23,4,0.8,0.678,0.0,-9.438,0.0,0.0388,0.105,2.06e-06,0.089,0.796,105.843,4.0
In The Wide Ruin,David Crosby,Oh Yes I Can,286840,1989-01-23,3,0.335,0.159,7.0,-16.342,1.0,0.0334,0.516,0.00518,0.112,0.0782,136.549,4.0
Tracks In The Dust,David Crosby,Oh Yes I Can,286920,1989-01-23,8,0.467,0.087,0.0,-19.459,1.0,0.0394,0.811,0.0,0.104,0.301,169.548,4.0
Drop Down Mama,David Crosby,Oh Yes I Can,186746,1989-01-23,2,0.623,0.762,2.0,-10.04,1.0,0.0399,0.243,0.000207,0.128,0.821,119.765,4.0
Lady Of The Harbor,David Crosby,Oh Yes I Can,199186,1989-01-23,4,0.589,0.272,7.0,-15.533,1.0,0.04,0.781,0.00123,0.0825,0.266,72.88,4.0
Distances,David Crosby,Oh Yes I Can,215480,1989-01-23,3,0.654,0.175,7.0,-14.701,1.0,0.0276,0.734,0.00511,0.0909,0.22,76.326,4.0
Flying Man,David Crosby,Oh Yes I Can,204360,1989-01-23,3,0.58,0.592,5.0,-13.083,0.0,0.0334,0.723,0.303,0.153,0.528,146.269,4.0
Oh Yes I Can,David Crosby,Oh Yes I Can,308426,1989-01-23,4,0.435,0.201,8.0,-14.146,1.0,0.0385,0.638,6.17e-06,0.179,0.175,117.397,4.0
