track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Into the Darkness,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,"Crosby, Stills, Nash, Mike Finnigan, Timothy B. Schmit"
Might as Well Have a Good Time,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Judy Henske, Craig Doerge","Crosby, Stills, Nash"
Raise a Voice,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Graham Nash, Stephen Stills","Crosby, Stills, Nash"
Since I Met You,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Michael Stergis","Crosby, Stills, Nash, Mike Finnigan"
Song for Susan,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,"Crosby, Stills, Nash, Timothy B. Schmit"
Southern Cross,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Richard Curtis, Michael Curtis","Crosby, Stills, Nash, Mike Finnigan, Timothy B. Schmit"
Tomorrow Is Another Day,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash",Stephen Stills,"Crosby, Stills, Nash, Timothy B. Schmit"
Too Much Love to Hide,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Gerry Tolman","Crosby, Stills, Nash, Mike Finnigan"
Turn Your Back on Love,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Graham Nash, Michael Stergis","Crosby, Stills, Nash, Mike Finnigan, Timothy B. Schmit"
Wasted on the Way,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,"Crosby, Stills, Nash, Timothy B. Schmit"
You Are Alive,Daylight Again,studio,"Crosby, Stills, & Nash",1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Michael Stergis","Crosby, Stills, Nash, Mike Finnigan"
30 Dollar Fine,Deja Vu,studio,"Crosby, Stills, Nash & Young",11/3/1970,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,"Crosby, Stills, Nash"
4 + 20,Deja Vu,studio,"Crosby, Stills, Nash & Young",11/3/1970,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,Stills & Young
