track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Fire Down Below,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
Golden Days,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
Mississippi Burning,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
Myself at Last,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
Target,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
This Path Tonight,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
Watch Out for the Wind,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
And so It Goes,Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,"Graham Nash, Neil Young, David Crosby"
Another Sleep Song,Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,"Graham Nash, Joni Mitchell"
Grave Concern,Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,"Graham Nash, Stanley Johnston"
Hey You (Looking at The Moon),Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,Graham Nash
I Miss You,Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,Graham Nash
Oh! Camil (The Winter Soldier),Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,Graham Nash
On the Line,Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,"Graham Nash, David Crosby"
Prison Song,Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,"Graham Nash, David Crosby"
Wild Tales,Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,Graham Nash
You'll Never Be the Same,Wild Tales,studio,Graham Nash,2/1/1974,,Graham Nash,Graham Nash,Graham Nash
